Short Item No,Business Unit,"Location ",Lot Serial Number,Primary Location,Lot Stat Code,Quantity On Hand,Quantity Backordered,Quantity On P.O.,Quantity On WO/RC,Quantity On other 1,Quantity On Other 2,Quantity on Other PO,Quantity Hard Committed,Qty Soft Committed,Quantity On Future,WO Soft Commit,Qty Hard Committed WO,Quantity In Transit,Quantity In Inspection,Quantity In Operation 1,Quantity In Operation 2,Last Rcpt Date,Secondary Quantity Hard Committed,Secondary Quantity Soft Committed,Secondary Quantity On Hand,Secondary Quantity On WO/RC,Secondary Quantity On Purchase Order,Secondary WO Hard Committed,Secondary WO Soft Commit,Quantity on Project Hard Commit,Quantity on Project Hard Commit,Unique Configuration ID
14019,"         901",F00L04,757163,S,,30,,,,,,,,,,,,,,,,01/04/2023,,,,,,,,,,
14019,"         901",F00L04,757172,S,,30,,,,,,,,,,,,,,,,01/04/2023,,,,,,,,,,
14019,"         901",F00L04,757183,S,,30,,,,,,,,,,,,,,,,01/04/2023,,,,,,,,,,
14019,"         901",F00L04,757206,S,,30,,,,,,,,,,,,,,,,01/04/2023,,,,,,,,,,
14019,"         901",F00L04,757213,S,,30,,,,,,,,,,,,,,,,01/04/2023,,,,,,,,,,
14019,"         901",F00L04,757227,S,,30,,,,,,,,,,,,,,,,01/04/2023,,,,,,,,,,
14019,"         901",F00L04,757243,S,,30,,,,,,,,,,,,,,,,01/04/2023,,,,,,,,,,
14019,"         901",F00L04,757253,S,,30,,,,,,,,,,,,,,,,01/04/2023,,,,,,,,,,
14019,"         901",F00L04,757261,S,,30,,,,,,,,,,,,,,,,01/04/2023,,,,,,,,,,
14019,"         901",F00L04,757315,S,,30,,,,,,,,,,,,,,,,01/04/2023,,,,,,,,,,
14019,"         901",F00L04,757324,S,,30,,,,,,,,,,,,,,,,01/04/2023,,,,,,,,,,
14019,"         901",F00L04,757333,S,,30,,,,,,,,,,,,,,,,01/04/2023,,,,,,,,,,
14019,"         901",FGOF,757140A,S,,1,,,,,,,,,,,,,,,,01/06/2023,,,,,,,,,,
14019,"         901",SERVICE,756398,S,,30,,,,,,,,,,,,,,,,01/03/2023,,,,,,,,,,
14019,"         901",SHIPDOCK,726416,S,,30,,,,,,,,,,,,,,,,,,,,,,,,,,
14019,"         901",TM02,756311,S,,30,,,,,,,,,,,,,,,,01/03/2023,,,,,,,,,,
14021,"         901",F00F01,747020,S,,30,,,,,,,,,,,,,,,,12/09/2022,,,,,,,,,,
